企业名称,综合得分,企查查链接,注册地址,主营业务,注册资本,参保人数,联系方式,行业分类,登记状态,评分理由,排名
上海兆康通信设备工程有限公司,100,https://www.qcc.com/firm/92f783a69b13f017d4c86d690c53df00.html?source=export&from=ddexport,上海市普陀区柳园路588号6幢23室,通信,13000万元,110,13391092050,IT/互联网,存续,普陀区 | 大型(110人/13000万) | 行业:IT/互联网 | 手机 | 固话 | 正常,1
上海六柿网络科技有限公司,100,https://www.qcc.com/firm/07ad66324f868bce0286d3716bd52fee.html?source=export&from=ddexport,上海市宝山区真陈路1000号1幢418-A、B、C、D、E、F、G、H、K、N、Z室,计算机,500万元,1,15821867384,其他,存续,极近 | 大型(1人/500万) | 行业:其他 | 手机 | 正常,2
上海予厚贸易有限公司,100,https://www.qcc.com/firm/4968b8c7d3d8d954eb8d3e23e3b3d483.html?source=export&from=ddexport,上海市普陀区红柳路255号2幢B区一层121-W室,汽车零部件制造,50万元,0,15900807900;15221532135;15221565497,制造业,注销（2024-04-16）,普陀区 | 小型 | 行业:制造业 | 手机 | 固话,3
上海立晏贸易有限公司,100,https://www.qcc.com/firm/cad5d10e4e1f428ca5252bfd79f4f18e.html?source=export&from=ddexport,上海市宝山区真陈路718号5幢4层4032室,商品批发,200万元,0,13651855397,其他,存续,极近 | 中型 | 行业:其他 | 手机 | 正常,4
上海鲸乐酒业有限公司,100,https://www.qcc.com/firm/6033f9db677fe449dc9c8ba8e6cfc096.html?source=export&from=ddexport,上海市普陀区红柳路255号2幢B区一层125-Z室,商品批发,100万元,5,18721573960;13122834280,其他,存续,普陀区 | 小型 | 行业:其他 | 手机 | 固话 | 正常,5
上海晨安餐饮店,100,https://www.qcc.com/firm/a1138da69b87ed5197d2ec2189b95ddf.html?source=export&from=ddexport,上海市宝山区真陈路788号5幢E区111室,住宿和餐饮业,10万元,0,18895528950;15201973060,其他,存续,极近 | 微型 | 行业:其他 | 手机 | 正常,6
上海源兰美环境艺术设计有限公司,100,https://www.qcc.com/firm/c436d9a68da83a00cd41a8be423a863e.html?source=export&from=ddexport,上海市普陀区红柳路255号2幢B区一层165-H室,专业服务业,50万元,1,13524934053;13761868685,其他,存续,普陀区 | 小型 | 行业:其他 | 手机 | 固话 | 正常,7
上海申伊自动化工程有限公司,100,https://www.qcc.com/firm/d70ce9216da4449158e98e5fb40b519a.html?source=export&from=ddexport,上海市普陀区柳园路556号5幢一层1789室,自动化设备制造,600万元,0,18017549927,制造业,存续,普陀区 | 大型(0人/600万) | 行业:制造业 | 手机 | 固话 | 正常,8
上海往里贸易有限公司,100,https://www.qcc.com/firm/1790fde666cad661c1070389b61c295a.html?source=export&from=ddexport,上海市宝山区真陈路1000号1幢6楼,商品零售,50万元,1,17634477041;13621859474,其他,存续,极近 | 小型 | 行业:其他 | 手机 | 正常,9
上海萃味食品有限公司,100,https://www.qcc.com/firm/3dc167706b009180295efd4a2a7a2fd0.html?source=export&from=ddexport,上海市普陀区红柳路255号6幢B区-297室,商品批发,100万元,0,13072133081,其他,存续,普陀区 | 小型 | 行业:其他 | 手机 | 固话 | 正常,10
